paper,title,conference,year
https://dblp.org/rec/conf/cvpr/Sueyoshi024,Predicated Diffusion: Predicate Logic-Based Attention Guidance for Text-to-Image Diffusion Models.,CVPR,2024
https://dblp.org/rec/conf/aaai/PadalkarW024,NeSyFOLD: A Framework for Interpretable Image Classification.,AAAI,2024
https://dblp.org/rec/conf/aaai/PatelGBY24,ConceptBed: Evaluating Concept Learning Abilities of Text-to-Image Diffusion Models.,AAAI,2024
https://dblp.org/rec/conf/ijcai/SinhaXZ24,A Self-explaining Neural Architecture for Generalizable Concept Learning.,IJCAI,2024
https://dblp.org/rec/conf/aaai/ReddyB24,NESTER: An Adaptive Neurosymbolic Method for Causal Effect Estimation.,AAAI,2024
https://dblp.org/rec/conf/aaai/SchwindIKM24,BeliefFlow: A Framework for Logic-Based Belief Diffusion via Iterated Belief Change.,AAAI,2024
https://dblp.org/rec/conf/aaai/TaoHD024,Deciphering Raw Data in Neuro-Symbolic Learning with Provable Guarantees.,AAAI,2024
https://dblp.org/rec/conf/ijcai/Jana24,NeuroSymbolic LLM for Mathematical Reasoning and Software Engineering.,IJCAI,2024
https://dblp.org/rec/conf/ijcai/GaoICW24,A differentiable first-order rule learner for inductive logic programming (Abstract Reprint).,IJCAI,2024
https://dblp.org/rec/conf/aaai/Werner24,Neuro-Symbolic Integration for Reasoning and Learning on Knowledge Graphs.,AAAI,2024
https://dblp.org/rec/conf/acl/Huang0QZCC24,Confidence is not Timeless: Modeling Temporal Validity for Rule-based Temporal Knowledge Graph Forecasting.,ACL (1),2024
https://dblp.org/rec/conf/icml/Zheng0CWLTG24,ContPhy: Continuum Physical Concept Learning and Reasoning from Videos.,ICML,2024
https://dblp.org/rec/conf/cvpr/SafaeeMPCM24,CLiC: Concept Learning in Context.,CVPR,2024
https://dblp.org/rec/conf/icml/YangYLF024,Neuro-Symbolic Temporal Point Processes.,ICML,2024
https://dblp.org/rec/conf/ijcai/Hecher0M024,Quantitative Claim-Centric Reasoning in Logic-Based Argumentation.,IJCAI,2024
https://dblp.org/rec/conf/emnlp/0002WD24,TV-TREES: Multimodal Entailment Trees for Neuro-Symbolic Video Reasoning.,EMNLP,2024
https://dblp.org/rec/conf/emnlp/ParuchuriGLHSA024,What Are the Odds? Language Models Are Capable of Probabilistic Reasoning.,EMNLP,2024
https://dblp.org/rec/conf/icml/XingL024,Federated Neuro-Symbolic Learning.,ICML,2024
https://dblp.org/rec/conf/icml/SteinNWN024,Towards Compositionality in Concept Learning.,ICML,2024
https://dblp.org/rec/conf/iclr/ChenSLHG24,GENOME: Generative Neuro-Symbolic Visual Reasoning by Growing and Reusing Modules.,ICLR,2024
https://dblp.org/rec/conf/iclr/LeeZW024,Language-Informed Visual Concept Learning.,ICLR,2024
https://dblp.org/rec/conf/icml/MaeneDR24,On the Hardness of Probabilistic Neurosymbolic Learning.,ICML,2024
https://dblp.org/rec/conf/icml/LuoZXY0L24,End-to-End Neuro-Symbolic Reinforcement Learning with Textual Explanations.,ICML,2024
https://dblp.org/rec/conf/icml/KriekenMPV24,On the Independence Assumption in Neurosymbolic Learning.,ICML,2024
https://dblp.org/rec/conf/iclr/SehgalGSC24,Neurosymbolic Grounding for Compositional World Models.,ICLR,2024
https://dblp.org/rec/conf/iclr/XuWXHZWWCQC24,LogicMP: A Neuro-symbolic Approach for Encoding First-order Logic Constraints.,ICLR,2024
https://dblp.org/rec/conf/icml/HuTYZ24,Case-Based or Rule-Based: How Do Transformers Do the Math?,ICML,2024
https://dblp.org/rec/conf/icml/FangZH024,StackSight: Unveiling WebAssembly through Large Language Models and Neurosymbolic Chain-of-Thought Decompilation.,ICML,2024
https://dblp.org/rec/conf/ijcai/WeirCD24,"NELLIE: A Neuro-Symbolic Inference Engine for Grounded, Compositional, and Explainable Reasoning.",IJCAI,2024
https://dblp.org/rec/conf/aaai/000224,Learning Neuro-Symbolic Abstractions for Robot Planning and Learning.,AAAI,2024
https://dblp.org/rec/conf/aaai/DongHWJGY024,Unveiling Implicit Deceptive Patterns in Multi-Modal Fake News via Neuro-Symbolic Reasoning.,AAAI,2024
https://dblp.org/rec/conf/aaai/FangD0SCPW24,Large Language Models Are Neurosymbolic Reasoners.,AAAI,2024
https://dblp.org/rec/conf/aaai/Marra24,From Statistical Relational to Neuro-Symbolic Artificial Intelligence.,AAAI,2024
https://dblp.org/rec/conf/nips/KriekenTTHT23,A-NeSI: A Scalable Approximate Method for Probabilistic Neurosymbolic Inference.,NeurIPS,2023
https://dblp.org/rec/conf/aaai/LinZLLL23,Actional Atomic-Concept Learning for Demystifying Vision-Language Navigation.,AAAI,2023
https://dblp.org/rec/conf/ijcai/PryorDAAWG23,NeuPSL: Neural Probabilistic Soft Logic.,IJCAI,2023
https://dblp.org/rec/conf/emnlp/0001ZBHMJLZZZW23,ART: rule bAsed futuRe-inference deducTion.,EMNLP,2023
https://dblp.org/rec/conf/ijcai/Vasileiou0TKCM23,A Logic-based Explanation Generation Framework for Classical and Hybrid Planning Problems (Extended Abstract).,IJCAI,2023
https://dblp.org/rec/conf/emnlp/AlyS023,QA-NatVer: Question Answering for Natural Logic-based Fact Verification.,EMNLP,2023
https://dblp.org/rec/conf/emnlp/OlaussonGLZSTL23,LINC: A Neurosymbolic Approach for Logical Reasoning by Combining Language Models with First-Order Logic Provers.,EMNLP,2023
https://dblp.org/rec/conf/aaai/DiPaolaMBADB23,An Introduction to Rule-Based Feature and Object Perception for Middle School Students.,AAAI,2023
https://dblp.org/rec/conf/emnlp/SinghG23,NeuSTIP: A Neuro-Symbolic Model for Link and Time Prediction in Temporal Knowledge Graphs.,EMNLP,2023
https://dblp.org/rec/conf/emnlp/SinghGGSGMMKGS23,Image Manipulation via Multi-Hop Instructions - A New Dataset and Weakly-Supervised Neuro-Symbolic Approach.,EMNLP,2023
https://dblp.org/rec/conf/nips/LiHLY0CM023,Neuro-symbolic Learning Yielding Logical Constraints.,NeurIPS,2023
https://dblp.org/rec/conf/aaai/Choi23,Probabilistic Reasoning and Learning for Trustworthy AI.,AAAI,2023
https://dblp.org/rec/conf/iccv/0001XXMYLL23,Beyond Object Recognition: A New Benchmark towards Object Concept Learning.,ICCV,2023
https://dblp.org/rec/conf/nips/MaeneR23,Soft-Unification in Deep Probabilistic Logic.,NeurIPS,2023
https://dblp.org/rec/conf/iclr/CornelioSHH23,Learning where and when to reason in neuro-symbolic inference.,ICLR,2023
https://dblp.org/rec/conf/icml/MarconatoBFCPT23,"Neuro-Symbolic Continual Learning: Knowledge, Reasoning Shortcuts and Concept Rehearsal.",ICML,2023
https://dblp.org/rec/conf/nips/MarconatoTVP23,Not All Neuro-Symbolic Concepts Are Created Equal: Analysis and Mitigation of Reasoning Shortcuts.,NeurIPS,2023
https://dblp.org/rec/conf/iclr/Li0C0CM023,Softened Symbol Grounding for Neuro-symbolic Systems.,ICLR,2023
https://dblp.org/rec/conf/iclr/LuFZXWEW23,Neuro-Symbolic Procedural Planning with Commonsense Prompting.,ICLR,2023
https://dblp.org/rec/conf/nips/Weng0J23,Decompose Novel into Known: Part Concept Learning For 3D Novel Class Discovery.,NeurIPS,2023
https://dblp.org/rec/conf/iclr/OldenhofAMB23,Weakly Supervised Knowledge Transfer with Probabilistic Logical Reasoning for Object Detection.,ICLR,2023
